"","x"
"1",275261.366077842
"2",863126.336870337
"3",260276.042590569
"4",604529.150267861
"5",426004.736220758
"6",567325.885010834
"7",827339.804547575
"8",359486.182829447
"9",222625.982954934
"10",649514.130754314
"11",234578.262282589
"12",261961.56342778
"13",245742.724462783
"14",360420.023867603
"15",486078.79009006
"16",724059.304895571
"17",808330.369076996
"18",426707.245861023
"19",717742.705849807
"20",259693.865099324
"21",929596.187926198
"22",135375.823014809
"23",286740.05549953
"24",437753.109948181
"25",786870.65555812
"26",293825.962504982
"27",1070912.11696705
"28",442476.691746518
"29",216909.207254652
"30",323958.116131205
"31",118693.572152426
"32",937513.27321012
"33",700621.108272356
"34",129445.165671532
"35",255050.69774002
"36",436900.203874731
"37",156539.005774695
"38",1162898.20850876
"39",1730454.57800234
"40",271097.827102411
"41",468668.935975587
"42",968859.337078694
"43",247337.473008125
"44",392112.227518843
"45",114623.483783237
"46",1091622.78311787
"47",895531.17375068
"48",558294.106043894
"49",333752.972109883
"50",654246.498158262
"51",340680.076402564
"52",370694.851876297
"53",1313785.33041329
"54",1313785.33041329
"55",573432.347526937
"56",521056.867253362
"57",191694.25036755
"58",251712.934817986
"59",951180.946706472
"60",502158.306429587
"61",980579.468819559
"62",694113.122367299
"63",397434.809982793
"64",581323.601513186
"65",492289.944142195
"66",191782.942866055
"67",80794.8824108628
"68",938471.936987509
"69",593239.071616448
"70",512362.229130681
"71",888794.916290167
"72",903757.512330018
"73",395782.513286259
"74",467325.661265328
"75",428753.89340698
"76",981938.670168844
"77",423723.363080522
"78",593209.618994124
"79",276459.700670279
"80",1487696.53182728
"81",639674.617029455
"82",451871.534803776
"83",248578.507706759
"84",519397.603824682
"85",566457.820265845
"86",732249.71836204
"87",484096.529621404
"88",466601.565541168
"89",1270058.01362863
"90",1132098.6367147
"91",771427.505609706
"92",214075.540498152
"93",69266.0958678007
"94",275717.721238818
"95",146312.450365763
"96",480032.524155105
"97",252532.259549266
"98",474711.037647426
"99",265270.903371713
"100",236280.098877498
"101",1287669.62045492
"102",381997.636529656
"103",373579.583715366
"104",582588.004628839
"105",523624.090028524
"106",893567.018810994
"107",239079.744317416
"108",273241.855885168
"109",1527963.67688399
"110",151577.230628404
"111",1774037.31646766
"112",127640.545799216
"113",242598.132571148
"114",324349.39849354
"115",2233044.49892269
"116",424761.759755066
"117",1496560.91419006
"118",78554.6378804197
"119",393185.761147065
"120",636689.892665391
"121",195394.333877284
"122",241422.915092993
"123",307698.376141577
"124",929342.488354579
"125",292867.361487847
"126",417349.501142112
"127",925214.635450726
"128",1175793.5477379
"129",409183.986986178
"130",645965.485054678
"131",528912.509750849
"132",634109.158893668
"133",344341.65818941
"134",369089.961994564
"135",725457.250698368
"136",432726.223049565
"137",1008130.09603001
"138",202431.082018036
"139",517950.771558929
"140",250423.956002454
"141",532346.407456232
"142",1027127.7935544
"143",495340.223772719
"144",391121.818836069
"145",716421.304814971
"146",668406.223627642
"147",204500.073435399
"148",238113.900257738
"149",575084.876234939
